HarvestYear,Crop,SampleID,Longitude,Latitude,ID2,GrainYieldDryPerArea,GrainCarbon,GrainNitrogen,GrainProtein,GrainMoisture,GrainStarch,GrainWGlutDM,ResidueMassDryPerArea,ResidueCarbon,ResidueNitrogen,Comments
2013,SB,CF13GPSB_101_10-E,-117.08516,46.77993,102,391.24015748031496,,,10.8,9.9,64.3,,,,,
2013,GB,CF13GPGB_102_11-E,-117.08474,46.77978,103,192.749343832021,46.339,3.5807,,,,,,,,
2013,SW,CF13GPSW_107_16-E,-117.08265,46.77987,108,322.34251968503935,,,10.9,6.4,76.8,26.2,,,,
2013,SW,CF13GPSW_108_17-E,-117.08219,46.77988,109,398.62204724409446,,,9.8,6.6,78.1,23.9,,,,
2013,WW,CF13GPWW_110_18-E,-117.08175,46.77967,110,361.3024934383202,,,10,9,73.9,26,,,,
2013,WW,CF13GPWW_111_19-E,-117.08139,46.77985,111,299.78674540682414,,,9.6,9.4,73.4,25,,,,
2013,WW,CF13GPWW_112_20-E,-117.08097,46.77985,112,355.15091863517057,,,9.5,8.9,74,25.2,,,,
2013,WW,CF13GPWW_113_21-E,-117.08054,46.77969,113,390.41994750656164,,,8.7,9.2,75.8,21.3,,,,
2013,WW,CF13GPWW_114_22-E,-117.08014,46.77997,114,238.27099737532808,,,8.3,9.3,74.1,21,,,,
2013,WW,CF13GPWW_115_23-E,-117.0797,46.77992,115,421.58792650918633,,,9.4,9.3,73.6,25,,,,
2013,WW,CF13GPWW_116_24-E,-117.0793,46.7799,116,376.06627296587925,,,9.7,8.9,74.1,24.7,,,,
2013,WW,CF13GPWW_117_25-E,-117.07889,46.77983,117,407.23425196850394,,,10.2,9,74,26.9,,,,
2013,WW,CF13GPWW_118_26-E,-117.07847,46.77984,118,418.7171916010498,,,10.5,9.2,72.7,29,,,,
2013,WW,CF13GPWW_119_27-E,-117.07802,46.77983,119,476.95209973753276,,,10.8,9,72.4,29.1,,,,
2013,WW,CF13GPWW_120_28-E,-117.07763,46.77978,120,355.56102362204723,,,12.1,8.9,70.2,32.6,,,,
2013,WW,CF13GPWW_121_29-E,-117.07721,46.77994,121,201.36154855643045,,,12.6,9.3,69.5,33.6,,,,
2013,WW,CF13GPWW_122_5-F,-117.08728,46.78016,123,92.27362204724409,,,14.8,9.3,66.4,40.5,,,,insufficient sample
2013,SW,CF13GPSW_123_6-F,-117.08686,46.78014,124,283.79265091863516,,,9.6,6.5,77.5,23,,,,
2013,SW,CF13GPSW_124_7-F,-117.08644,46.78022,125,299.78674540682414,,,9.7,8,74.2,26.4,,,,
2013,SW,CF13GPSW_125_8-F,-117.08601,46.78018,126,188.6482939632546,,,12,9.8,68.1,31.7,,,,
2013,GB,CF13GPGB_126_9-F,-117.08559,46.78009,127,180.85629921259843,46.123,3.4673,,,,,,,,
2013,GB,CF13GPGB_127_10-F,-117.08519,46.78021,128,203.001968503937,46.55,3.8034,,,,,,,,
2013,SB,CF13GPSB_128_11-F,-117.08477,46.78006,129,431.0203412073491,,,10,9.5,65.3,,,,,
2013,SW,CF13GPSW_134_17-F,-117.08227,46.78019,135,314.14041994750653,,,8.6,6.9,78.8,20.9,,,,
2013,SW,CF13GPSW_135_18-F,-117.08185,46.78,136,430.20013123359576,,,9.3,6.8,78.4,22.3,,,,
2013,SW,CF13GPSW_136_19-F,-117.08145,46.78015,137,458.08727034120733,,,11.9,9.6,68.4,32.5,,,,
2013,WW,CF13GPWW_138_20-F,-117.08101,46.78014,138,352.6902887139107,,,11.2,9.1,71.9,29.8,,,,
2013,WW,CF13GPWW_139_21-F,-117.08059,46.77999,139,269.0288713910761,,,9.5,9.1,74.6,24,,,,
2013,WW,CF13GPWW_140_22-F,-117.08018,46.78026,140,279.2814960629921,,,9.1,9.1,75.2,22.7,,,,
2013,WW,CF13GPWW_141_23-F,-117.07976,46.78023,141,291.994750656168,,,8.3,9.1,75.8,19.7,,,,
2013,WW,CF13GPWW_142_24-F,-117.07934,46.78019,142,314.96062992125985,,,9.3,9.3,73.2,24.6,,,,
2013,WW,CF13GPWW_143_25-F,-117.0789,46.7801,143,365.81364829396324,,,8.2,8.8,74.4,20.1,,,,
2013,WW,CF13GPWW_144_26-F,-117.0785,46.78012,144,287.0734908136483,,,10.4,8.8,73.1,27.7,,,,
2013,WW,CF13GPWW_145_27-F,-117.07808,46.78013,145,333.005249343832,,,9.2,8.8,73.9,23.1,,,,
2013,WW,CF13GPWW_146_28-F,-117.07767,46.78007,146,324.8031496062992,,,11.5,9.4,71.8,31,,,,
2013,WW,CF13GPWW_147_29-F,-117.07725,46.78023,147,207.51312335958005,,,10.5,9.3,73.4,28.8,,,,Lost small amount; thesher not working well
2013,WW,CF13GPWW_148_30-F,-117.07683,46.78,148,447.42454068241466,,,10.7,9.7,73.9,29.7,,,,
2013,WW,CF13GPWW_148_6-G,-117.0871,46.78042,149,91.45341207349081,,,15.5,9.2,65.2,43.2,,,,insufficient sample
2013,SW,CF13GPSW_149_7-G,-117.08668,46.78051,150,278.0511811023622,,,10.6,9.1,72.7,28.3,,,,
2013,SW,CF13GPSW_150_8-G,-117.08623,46.78046,151,250.9842519685039,,,10.1,6.8,77.7,23.5,,,,
2013,SW,CF13GPSW_151_9-G,-117.08583,46.78037,152,228.83858267716533,,,12.1,6.6,73.1,28.1,,,,
2013,SW,CF13GPSW_152_10-G,-117.08543,46.7805,153,241.14173228346456,,,12,9.2,70.2,31.3,,,,
2013,GB,CF13GPGB_153_11-G,-117.08501,46.78035,154,80.38057742782152,46.627,3.385,,,,,,,,mouse damage
2013,SB,CF13GPSB_154_12-G,-117.08459,46.78044,155,228.01837270341207,,,12.4,7.6,63.2,,,,,
2013,GB,CF13GPGB_158_16-G,-117.08292,46.78044,159,58.645013123359576,46.28,3.4408,,,,,,46.078,0.39232,
2013,GB,CF13GPGB_159_17-G,-117.0825,46.78048,160,134.10433070866142,46.618,3.5058,,,,,,,,
2013,SW,CF13GPSW_160_18-G,-117.08209,46.78028,161,452.34580052493436,,,9,6.6,78.4,22,,,,
2013,SW,CF13GPSW_161_19-G,-117.08165,46.78041,162,334.64566929133855,,,9.9,9.8,70,27,,,,
2013,SW,CF13GPSW_162_20-G,-117.08125,46.78042,163,364.5833333333333,,,9,6.9,78.9,21.5,,,,
2013,WW,CF13GPWW_164_21-G,-117.08083,46.78028,164,327.26377952755905,,,9.4,9.1,73.4,23.3,714.4028871391075,45.913,0.21728,798
2013,WW,CF13GPWW_165_22-G,-117.08041,46.78054,165,297.73622047244095,,,10,9.1,74.4,25.7,,,,
2013,WW,CF13GPWW_166_23-G,-117.08,46.78051,166,356.3812335958005,,,10.7,8.9,72.5,28.3,,,,
2013,WW,CF13GPWW_167_24-G,-117.07958000000001,46.78048,167,340.3871391076115,,,11,8.9,71.6,28.6,,,,
2013,WW,CF13GPWW_168_25-G,-117.07916,46.7804,168,281.74212598425197,,,11,8.8,69.8,28.8,,,,
2013,WW,CF13GPWW_169_26-G,-117.07874,46.78041,169,326.0334645669291,,,9.7,9,73.5,24.7,745.1607611548555,46.327,0.19498,
2013,WW,CF13GPWW_170_27-G,-117.07832,46.78041,170,264.1076115485564,,,9.8,9.3,73.2,26.4,,,,
2013,WW,CF13GPWW_171_28-G,-117.07791,46.78035,171,312.9101049868766,,,10.2,9,73.5,26.3,,,,
2013,WW,CF13GPWW_172_29-G,-117.07749,46.78052,172,295.2755905511811,,,10.8,9,72.6,28.6,,,,
2013,WW,CF13GPWW_173_30-G,-117.07707,46.78029,173,357.6115485564304,,,8.7,9.1,75.8,21,,,,
2013,WW,CF13GPWW_174_31-G,-117.07665,46.78041,174,429.79002624671915,,,9.1,9,75.2,22.6,,,,
2013,WW,CF13GPWW_174_6-H,-117.08688,46.78071,175,331.36482939632543,,,10.6,9.1,72.7,28.8,,,,
2013,WW,CF13GPWW_175_7-H,-117.08648,46.7808,176,273.9501312335958,,,13.3,9,69.8,36.2,,,,
2013,SW,CF13GPSW_176_8-H,-117.08604,46.78076,177,181.26640419947506,,,10.5,6.9,76.9,24.9,,,,
2013,SW,CF13GPSW_177_9-H,-117.08563,46.78067,178,322.752624671916,,,9.6,7,77.3,23.8,,,,
2013,SW,CF13GPSW_178_10-H,-117.08521,46.78079,179,356.79133858267716,,,9.2,7.1,77.4,21.9,,,,
2013,GB,CF13GPGB_179_11-H,-117.08479,46.78063,180,75.0492125984252,46.1,3.422,,,,,,,,
2013,SB,CF13GPSB_180_12-H,-117.08437,46.78072,181,364.99343832021,,,10.8,6.4,64.6,,,,,
2013,GB,CF13GPGB_182_14-H,-117.08353,46.78074,183,149.68832020997374,46.557,3.8989,,,,,,,,
2013,GB,CF13GPGB_185_17-H,-117.08228,46.78077,186,89.4028871391076,46.62,3.8067,,,,,,,,
2013,SW,CF13GPSW_186_18-H,-117.08186,46.78057,187,131.23359580052494,,,12.8,6.4,72.3,30.2,,,,insufficient sample
2013,SW,CF13GPSW_187_19-H,-117.08145,46.78071,188,279.6916010498688,,,10.5,9.9,70,28,,,,
2013,SW,CF13GPSW_188_20-H,-117.08103,46.78071,189,482.69356955380573,,,9.5,9.9,70.9,26.1,,,,
2013,WW,CF13GPWW_190_21-H,-117.08061,46.78056,190,426.50918635170603,,,10.6,9.4,73,29.3,,,,
2013,WW,CF13GPWW_191_22-H,-117.08019,46.78083,191,377.2965879265092,,,10.2,9.2,74,26.8,,,,
2013,WW,CF13GPWW_192_23-H,-117.07977,46.7808,192,335.0557742782152,,,9.5,9,74.5,23.9,,,,
2013,WW,CF13GPWW_193_24-H,-117.07936,46.78076,193,411.3353018372703,,,10.2,9.4,72.9,27.7,,,,
