"Column","Row2","SampleID","Crop","GrainWeight","Protein","Moisture","Starch","WGlutDM","TestWeight","ID2","Logitude","Latitude","ResidueWeight","Notes","Year","FieldID"
12,"D","CF14GPWW_76_12-D","WW",1119,11.5,9.3,72.4,30.6,56.3,77,-117.084469,46.779579,1905," |  | ",2014,"CookEast"
13,"D","CF14GPWW_77_13-D","WW",867,12,8.8,68.8,32.1,48.8,78,-117.084051,46.779532,2461," |  | ",2014,"CookEast"
14,"D","CF14GPWW_78_14-D","WW",807,11.4,9.1,71.5,30.5,51.9,79,-117.083633,46.779595,1517," |  | ",2014,"CookEast"
15,"D","CF14GPWW_79_15-D","WW",794,12.1,9,67,31.7,44.1,80,-117.083215,46.779516,1532," |  | ",2014,"CookEast"
16,"D","CF14GPWW_80_16-D","WW",1064,9.1,8.1,72.6,22.7,34.6,81,-117.082797,46.779585,1867,"Starch outside limits |  | ",2014,"CookEast"
17,"D","CF14GPWW_81_17-D","WW",990,10.1,8.2,74.6,26.6,55.6,82,-117.082379,46.779622,1710,"Starch outside limits |  | ",2014,"CookEast"
18,"D","CF14GPSWGrn_C1_83_18-D","SW",617,11.7,7.3,71.3,27.7,57.3,83,-117.081961,46.779424,," |  | ",2014,"CookEast"
19,"D","CF14GPSWGrn_C1_84_19-D","SW",757,11.6,6.5,71.7,26.5,55.8,84,-117.081543,46.779563,,"MOISTURE OUTSIDE LIMITS |  | ",2014,"CookEast"
20,"D","GPHY14_GB_C2_85_20-D","GB",441,,,,,,85,-117.081125,46.779565,810," |  | ",2014,"CookEast"
21,"D","GPHY14_SB_C3_86_21-D","SB",1099,12.6,10.8,62.5,,53.1,86,-117.080707,46.779421,," |  | ",2014,"CookEast"
22,"D","GPHY14_SB_C3_87_22-D","SB",851,11.5,11.5,62.9,,51.8,87,-117.080289,46.779684,," |  | ",2014,"CookEast"
23,"D","CF14GPWW_87_23-D","WW",899,12.3,7.9,71.2,33.5,59.4,88,-117.079871,46.779655,1463," |  | ",2014,"CookEast"
24,"D","CF14GPSWGrn_C5_89_24-D","SW",794,11.5,6.8,71.4,24.9,56.8,89,-117.07944702,46.77960671,,"MOISTURE OUTSIDE LIMITS |  | ",2014,"CookEast"
25,"D","CF14GPSWGrn_C5_90_25-D","SW",851,8.8,6.7,75.4,20.2,60.3,90,-117.079035,46.77954,,"MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ORIGINAL SAMPLE BAG RIPPED",2014,"CookEast"
26,"D","CF14GPSWGrn_C6_91_26-D","SW",757,11.4,6.7,70,24.2,57.6,91,-117.078617,46.779552,,"MOISTURE OUTSIDE LIMITS |  | ",2014,"CookEast"
27,"D","CF14GPSWGrn_C7_92_27-D","SW",939,10.7,6.9,72.2,24,60.2,92,-117.078199,46.779557,,"MOISTURE OUTSIDE LIMITS |  | ",2014,"CookEast"
28,"D","CF14GPSWGrn_C8_93_28-D","SW",473,13.4,6.2,64.3,32.2,44,93,-117.077781,46.779494,,"MOISTURE OUTSIDE LIMITS |  | ",2014,"CookEast"
29,"D","CF14GPSWGrn_C8_94_29-D","SW",405,12.2,6.6,69.2,27.3,54.5,94,-117.077363,46.779658,,"MOISTURE OUTSIDE LIMITS |  | ",2014,"CookEast"
3,"E","GPHY14_GB_A1_95_3-E","GB",224,,,,,,95,-117.08807304,46.77971682,461," |  | ",2014,"CookEast"
4,"E","GPHY14_GB_A1_96_4-E","GB",276,,,,,,96,-117.087663,46.7797,722," |  | ",2014,"CookEast"
5,"E","GPHY14_GB_A2_97_5-E","GB",160,,,,,,97,-117.087245,46.779873,384," |  | ",2014,"CookEast"
6,"E","GPHY14_GB_A3_98_6-E","GB",271,,,,,,98,-117.086827,46.77985,708," |  | ",2014,"CookEast"
7,"E","GPHY14_GB_A3_99_7-E","GB",265,,,,,,99,-117.086409,46.779935,658," |  | ",2014,"CookEast"
8,"E","GPHY14_GB_A4_100_8-E","GB",214,,,,,,100,-117.085991,46.779905,," |  | ",2014,"CookEast"
9,"E","CF14GPSWGrn_A5_101_9-E","SW",820,10.1,6.8,73.9,23.8,56.4,101,-117.085573,46.77981,,"MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ",2014,"CookEast"
10,"E","GP14GPSWGrn_A6_102_10-E","SW",817,9.4,6.9,75.6,22,59,102,-117.085155,46.779928,,"MOISTURE OUTSIDE LIMITS | STARCH OUTSIDE LIMITS | ",2014,"CookEast"
11,"E","CF14GPWW_102_11-E","WW",818,11.3,8.9,67.3,30,45.6,103,-117.084737,46.779776,1926," |  | ",2014,"CookEast"
