"","Source","CreationDate","Author","LastSaved","LastSavedBy","BarcodeFinal","LabelPrefix","Crop","FieldStrip","ID2Bad","Col.Row2","Column","Row2","isResidue","TotalGrain.g..bag","TareBag.g.","TotalGrain.g.","Tota.Biomass.g..bag","TareBag.g..1","TotalBiomass.g.","protein","moisture","starch","gluten","testWeight","tareWtSampleBag.g.","NOTES","Notes2","Notes3","ID2","Strip","Field","coords.x1","coords.x2"
"253","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_130_13-F","CF14GPWW","WW","","130","13-F",13,"F","",1245,20,1225,,,,11.9,8.8,69.5,32,44.2,,"","","",131,2,"B",-117.083937,46.780104
"255","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_131_14-F","CF14GPWW","WW","","131","14-F",14,"F","",1048,19,1029,,,,11,9.1,72.1,29.7,54.6,,"","","",132,2,"B",-117.083519,46.780167
"257","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_132_15-F","CF14GPWW","WW","","132","15-F",15,"F","",1098,20,1078,,,,11.4,8.5,67.4,29.9,43.3,,"","","",133,3,"B",-117.083101,46.780088
"259","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_133_16-F","CF14GPWW","WW","","133","16-F",16,"F","",694,19,675,,,,12.4,8.9,69.4,33.2,53.2,,"","","",134,4,"B",-117.082683,46.780157
"262","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_134_17-F","CF14GPWW","WW","","134","17-F",17,"F","",1165,20,1145,,,,10.7,7.8,70.3,28.7,48,,"","","",135,5,"B",-117.082265,46.780194
"264","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_135_18-F","CF14GPWW","WW","","135","18-F",18,"F","",1260,19,1241,,,,9.3,8.7,74.8,23.8,51,,"","","",136,6,"B",-117.081847,46.779996
"266","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_136_19-F","CF14GPWW","WW","","136","19-F",19,"F","",1127,19,1108,,,,9.4,8.4,74.2,24.2,50.3,,"","","",137,6,"B",-117.08145287,46.78014727
"267","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C1_138_20-F","CF14GPSWGrn","SW","C1","138","20-F",20,"F","",566,20,546,,,,12.1,6.7,70.3,29.3,55.5,,"MOISTURE OUTSIDE LIMITS","","",138,1,"C",-117.081011,46.780137
"269","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_C2_139_21-F","GPHY14","GB","C2","139","21-F",21,"F","",309,20,289,,,,,,,,,,"","","",139,2,"C",-117.080593,46.779993
"272","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_C2_140_22-F","GPHY14","GB","C2","140","22-F",22,"F","",221,20,201,,,,,,,,,,"","","",140,2,"C",-117.080175,46.780256
"274","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx",41964.45069,"Covered Storage",41964.50208,"Covered Storage","GPHY14_SB_C3_141_23-F","GPHY14","SB","C3","141","23-F",23,"F","",521,31,490,,,,14.4,12.7,59.1,,44,,"","","",141,3,"C",-117.079757,46.780227
"276","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_141_24-F","CF14GPWW","WW","","141","24-F",24,"F","",802,20,782,,,,11.9,8.6,69.6,32.5,52.4,,"","","",142,4,"C",-117.079339,46.780191
"277","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C5_143_25-F","CF14GPSWGrn","SW","C5","143","25-F",25,"F","",498,20,478,,,,13.5,5.8,66.7,29.1,51.3,,"MOISTURE OUTSIDE LIMITS","","",143,5,"C",-117.0789031,46.78010382
"278","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C5_144_26-F","CF14GPSWGrn","SW","C5","144","26-F",26,"F","",508,20,488,,,,8.1,7,75.5,16.9,56.5,,"MOISTURE OUTSIDE LIMITS","STARCH OUTSIDE LIMITS","",144,5,"C",-117.078503,46.780124
"279","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C6_145_27-F","CF14GPSWGrn","SW","C6","145","27-F",27,"F","",558,20,538,,,,11.1,6.8,70.9,23.9,54.9,,"MOISTURE OUTSIDE LIMITS","","",145,6,"C",-117.078085,46.780129
"280","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C7_146_28-F","CF14GPSWGrn","SW","C7","146","28-F",28,"F","",230,23,207,,,,14.6,6,63.1,34.4,,,"MOISTURE OUTSIDE LIMITS","SAMPLE TOO SMALL TO GIVE TEST WT","ORIGINAL SAMPLE BAG RIPPED",146,7,"C",-117.077667,46.780066
"281","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C7_147_29-F","CF14GPSWGrn","SW","C7","147","29-F",29,"F","",281,20,261,,,,14.9,7.2,60.1,37.1,,,"","","SAMPLE TOO SMALL FOR TEST WEIGHT",147,7,"C",-117.077249,46.78023
"282","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C8_148_30-F","CF14GPSWGrn","SW","C8","148","30-F",30,"F","",836,20,816,,,,10.9,7.3,72.4,27.8,61.6,,"","","",148,8,"C",-117.076831,46.780004
"284","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A1_149_6-G","GPHY14","GB","A1","149","6-G",6,"G","",558,20,538,,,,,,,,,,"","","",149,1,"A",-117.087103,46.780422
"287","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A2_150_7-G","GPHY14","GB","A2","150","7-G",7,"G","",400,20,380,,,,,,,,,,"","","",150,2,"A",-117.086685,46.780507
"289","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A3_151_8-G","GPHY14","GB","A3","151","8-G",8,"G","",348,20,328,,,,,,,,,,"","","",151,3,"A",-117.08622506,46.78045544
"292","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A4_152_9-G","GPHY14","GB","A4","152","9-G",9,"G","",242,20,222,,,,,,,,,,"MOUSE DAMAGE TO SAMPLE","","",152,4,"A",-117.08583327,46.78037122
"294","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A4_153_10-G","GPHY14","GB","A4","153","10-G",10,"G","",232,20,212,,,,,,,,,,"","","",153,4,"A",-117.085431,46.7805
"296","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_A5_154_11-G","CF14GPSWGrn","SW","A5","154","11-G",11,"G","",1058,20,1038,,,,11.4,6.7,70.2,25.5,55.2,,"MOISTURE OUTSIDE LIMITS","","",154,5,"A",-117.085013,46.780348
"297","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_A6_155_12-G","CF14GPSWGrn","SW","A6","155","12-G",12,"G","",642,20,622,,,,10.7,6.4,72.8,23.4,54.8,,"MOISTURE OUTSIDE LIMITS","","",155,6,"A",-117.084595,46.780437
"299","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_155_13-G","CF14GPWW","WW","","155","13-G",13,"G","",912,20,892,,,,9.8,9.7,69.3,25.4,43.2,,"","","",156,1,"B",-117.084177,46.78039
"301","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_156_14-G","CF14GPWW","WW","","156","14-G",14,"G","",884,19,865,,,,10.1,8.3,71.3,25.9,50.5,,"","","",157,1,"B",-117.083759,46.780453
"303","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_157_15-G","CF14GPWW","WW","","157","15-G",15,"G","",868,20,848,,,,10.4,9.2,70.9,26.6,45.6,,"","","",158,2,"B",-117.083341,46.780374
"305","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_158_16-G","CF14GPWW","WW","","158","16-G",16,"G","",965,20,945,,,,11.7,8.1,67,31.1,41.5,,"","","",159,3,"B",-117.082923,46.780443
"307","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_159_17-G","CF14GPWW","WW","","159","17-G",17,"G","",1077,19,1058,,,,12.3,8.9,67.5,32.4,47.6,,"","","",160,4,"B",-117.082505,46.78048
"309","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_160_18-G","CF14GPWW","WW","","160","18-G",18,"G","",1019,20,999,,,,9.5,8.6,72.8,24.3,49.5,,"","","",161,5,"B",-117.082087,46.780282
"312","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_161_19-G","CF14GPWW","WW","","161","19-G",19,"G","",945,20,925,,,,11.2,7.7,66.8,28.9,40.5,,"","","",162,6,"B",-117.08164513,46.78040873
"314","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_162_20-G","CF14GPWW","WW","","162","20-G",20,"G","",1047,20,1027,,,,10.5,7.5,75,27.8,51.5,,"Starch outside limits","","",163,6,"B",-117.081251,46.780423
"315","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C1_164_21-G","CF14GPSWGrn","SW","C1","164","21-G",21,"G","",543,20,523,,,,13.8,7,63.5,32.5,53.2,,"MOISTURE OUTSIDE LIMITS","","",164,1,"C",-117.080833,46.780279
"316","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C1_165_22-G","CF14GPSWGrn","SW","C1","165","22-G",22,"G","",577,20,557,,,,11.1,6.4,70.9,26.4,55.5,,"MOISTURE OUTSIDE LIMITS","","",165,1,"C",-117.080415,46.780542
"318","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_C2_166_23-G","GPHY14","GB","C2","166","23-G",23,"G","",198,20,178,,,,,,,,,,"","","",166,2,"C",-117.079997,46.780513
"320","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx",41964.45069,"Covered Storage",41964.50208,"Covered Storage","GPHY14_SB_C3_167_24-G","GPHY14","SB","C3","167","24-G",24,"G","",639,31,608,,,,12.4,13.6,60.9,,47.6,,"","","",167,3,"C",-117.079579,46.780477
"322","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_167_25-G","CF14GPWW","WW","","167","25-G",25,"G","",716,19,697,,,,10.9,8.2,72,29.7,54.9,,"","","",168,4,"C",-117.079161,46.780398
"325","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_168_26-G","CF14GPWW","WW","","168","26-G",26,"G","",895,20,875,,,,12.3,7.7,69.9,33.3,53.9,,"","","",169,4,"C",-117.078743,46.78041
"326","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C5_170_27-G","CF14GPSWGrn","SW","C5","170","27-G",27,"G","",261,20,241,,,,12.4,6.4,67.4,28.8,,,"MOISTURE OUTSIDE LIMITS","","SAMPLE TOO SMALL FOR TEST WEIGHT",170,5,"C",-117.078325,46.780415
"327","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C6_172_29-G","CF14GPSWGrn","SW","C6","172","29-G",29,"G","",453,20,433,,,,11.8,6.9,68.9,26.1,54.3,,"MOISTURE OUTSIDE LIMITS","","",172,6,"C",-117.077489,46.780516
"328","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C7_173_30-G","CF14GPSWGrn","SW","C7","173","30-G",30,"G","",491,20,471,,,,11.4,6.7,70.9,28.6,56.1,,"MOISTURE OUTSIDE LIMITS","","",173,7,"C",-117.077071,46.78029
"329","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C8_174_31-G","CF14GPSWGrn","SW","C8","174","31-G",31,"G","",848,20,828,,,,10.5,6.5,75.1,25,61.4,,"MOISTURE OUTSIDE LIMITS","STARCH OUTSIDE LIMITS","",174,8,"C",-117.076653,46.780414
"331","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A1_175_6-H","GPHY14","GB","A1","175","6-H",6,"H","",430,20,410,,,,,,,,,,"","","",175,1,"A",-117.086879,46.780708
"334","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A1_176_7-H","GPHY14","GB","A1","176","7-H",7,"H","",351,20,331,,,,,,,,,,"","","",176,1,"A",-117.08647678,46.78080097
"337","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A2_177_8-H","GPHY14","GB","A2","177","8-H",8,"H","",239,20,219,,,,,,,,,,"","","",177,2,"A",-117.086043,46.780763
"340","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14+GB_A3_178_9-H","GPHY14","GB","A3","178","9-H",9,"H","",447,20,427,,,,,,,,,,"","","",178,3,"A",-117.085625,46.780668
"343","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_A4_179_10-H","GPHY14","GB","A4","179","10-H",10,"H","",371,20,351,,,,,,,,,,"","","",179,4,"A",-117.085207,46.780786
"345","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_A5_180_11-H","CF14GPSWGrn","SW","A5","180","11-H",11,"H","",508,20,488,,,,11.1,7.3,65.4,25.1,54.2,,"","","",180,5,"A",-117.084789,46.780634
"346","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_A6_181_12-H","CF14GPSWGrn","SW","A6","181","12-H",12,"H","",599,20,579,,,,11,6.5,69.9,25,50.2,,"MOISTURE OUTSIDE LIMITS","","",181,6,"A",-117.084371,46.780723
"348","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_181_13-H","CF14GPWW","WW","","181","13-H",13,"H","",720,20,700,,,,11,9.3,65.5,28.6,40.5,,"","","",182,1,"B",-117.08392119,46.78065692
"351","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_182_14-H","CF14GPWW","WW","","182","14-H",14,"H","",1470,20,1450,,,,10.3,8.7,71.6,27,44.6,,"","","",183,1,"B",-117.083535,46.780739
"353","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_183_15-H","CF14GPWW","WW","","183","15-H",15,"H","",1246,20,1226,,,,9.1,8.8,73.1,22.7,53.2,,"","","",184,2,"B",-117.083117,46.78066
"356","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_184_16-H","CF14GPWW","WW","","184","16-H",16,"H","",1476,20,1456,,,,10.7,8.3,70.9,28.2,45.6,,"","","",185,3,"B",-117.082699,46.780729
"359","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_185_17-H","CF14GPWW","WW","","185","17-H",17,"H","",1162,19,1143,,,,11.5,7.9,70.8,30.2,43.7,,"","","",186,4,"B",-117.082281,46.780766
"361","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_186_18-H","CF14GPWW","WW","","186","18-H",18,"H","",667,20,647,,,,11.3,9.3,62.3,31.5,34.8,,"","","",187,5,"B",-117.081863,46.780568
"363","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx",41947.55208,"Covered Storage",41947.65833,"Covered Storage","CF14GPWW_187_19-H","CF14GPWW","WW","","187","19-H",19,"H","",845,19,826,,,,11.1,8.3,70.6,29.8,47.2,,"","","",188,5,"B",-117.081445,46.780707
"365","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_188_20-H","CF14GPWW","WW","","188","20-H",20,"H","",1365,20,1345,,,,10,8.2,75.2,26.4,53.4,,"Starch outside limits","","",189,6,"B",-117.081027,46.780709
"366","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C1_190_21-H","CF14GPSWGrn","SW","C1","190","21-H",21,"H","",786,20,766,,,,11.4,6.5,69.3,26,53.6,,"MOISTURE OUTSIDE LIMITS","","",190,1,"C",-117.080609,46.780565
"367","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPSWGrn_C1_191_22-H","CF14GPSWGrn","SW","C1","191","22-H",22,"H","",691,20,671,,,,11.3,6.4,71.6,26.7,54.8,,"MOISTURE OUTSIDE LIMITS","","",191,1,"C",-117.080191,46.780828
"369","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx",42164.54028,"Covered Storage",42164.56806,"Covered Storage","GPHY14_GB_C2_192_23-H","GPHY14","GB","C2","192","23-H",23,"H","",398,20,378,,,,,,,,,,"","","",192,2,"C",-117.079773,46.780799
"371","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx",41964.45069,"Covered Storage",41964.50208,"Covered Storage","GPHY14_SB_C3_193_24-H","GPHY14","SB","C3","193","24-H",24,"H","",499,31,468,,,,12,11.8,63.4,,53,,"","","",193,3,"C",-117.079355,46.780763
"372","??\Cook Farm GP HY2014 Field B C4 WW Bag Labels.xlsx",41856.34514,"Rachel Unger",41871.46667,"Covered Storage","CF14GPWW_193_25-H","CF14GPWW","WW","","193","25-H",25,"H","",,,,,,,,,,,,,"","","",194,4,"C",-117.07891312,46.78066353
"375","\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx",42157.42847,"Covered Storage",42166.53264,"Covered Storage","CF14GPWW_194_26-H","CF14GPWW","WW","","194","26-H",26,"H","",583,20,563,,,,12.4,8.1,66.7,33.1,46,,"","","",195,4,"C",-117.078519,46.780696
