HarvestYear,Crop,SampleID,Longitude,Latitude,ID2,GrainYieldDryPerArea,GrainProtein,GrainMoisture,GrainStarch,GrainWGlutDM,Comments
2012,SL,GPHY12_SL_C4_291_28-L,-117.077648,46.781782,291,134.02625820568926,,,,,""
2012,SL,GPHY12_SL_C4_292_29-L,-117.07723,46.781946,292,177.24288840262582,,,,,""
2012,SL,GPHY12_SL_C5_293_30-L,-117.076812,46.78172,293,170.13129102844638,,,,,""
2012,WW,GPHY12_WW_A1_297_9-M,-117.085536,46.782098,297,,,,,,""
2012,WW,GPHY12_WW_A1_298_10-M,-117.085118,46.782216,298,,,,,,""
2012,WW,GPHY12_WW_A2_299_11-M,-117.0847,46.782064,299,,,,,,""
2012,WW,GPHY12_WW_A3_300_12-M,-117.084282,46.782153,300,,11,8.1,75,28.6,""
2012,WW,GPHY12_WW_A4_301_13-M,-117.083864,46.782106,301,,10.8,8.4,74.7,28.6,""
2012,WW,GPHY12_WW_A5_302_14-M,-117.08343026,46.78215462,302,,10.5,8.4,75.7,27.9,""
2012,WW,GPHY12_WW_A6_303_15-M,-117.08301227,46.78207922,303,,9.9,7.8,76.8,24.1,""
2012,WW,GPHY12_WW_A6_304_16-M,-117.08261,46.782159,304,,9.9,8.3,76.7,24.9,""
2012,SW,GPHY12_SW_B1_305_17-M,-117.082192,46.782196,305,,8.9,9.2,74.6,22.9,""
2012,SW,GPHY12_SW_B2_306_18-M,-117.081774,46.781998,306,,10.8,9.2,72.1,29.7,""
2012,SW,GPHY12_SW_B3_307_19-M,-117.081356,46.782137,307,,11.1,9,72,30.3,""
2012,SW,GPHY12_SW_B3_308_20-M,-117.080938,46.782139,308,,8.8,9.3,74.3,23,""
2012,SB,GPHY12_SB_B5_309_21-M,-117.08049902,46.78197702,309,,9.9,9.4,66.6,,""
2012,SB,GPHY12_SB_B5_310_22-M,-117.080102,46.782258,310,,9.5,9.3,68.2,,""
2012,SL,GPHY12_SL_B6_311_23-M,-117.079684,46.782229,311,237.417943107221,,,,,""
2012,SL,GPHY12_SL_B6_312_24-M,-117.07930181,46.78221346,312,295.40481400437636,,,,,""
2012,SL,GPHY12_SL_C1_313_25-M,-117.078848,46.782114,313,323.3041575492341,,,,,""
2012,SW,GPHY12_SW_C2_314_26-M,-117.07843,46.782126,314,,9.6,8.5,74.4,24.6,""
2012,SW,GPHY12_SW_C2_315_27-M,-117.07804184,46.78214737,315,,10.4,10.9,70.9,28.3,""
2012,SW,GPHY12_SW_C3_316_28-M,-117.077594,46.782068,316,,10,10.2,70.7,27.3,""
2012,WW,GPHY12_WW_A1_323_10-N,-117.08513522,46.78249247,323,,,,,,""
